maaltijdtype,naam,calorieen,eiwit,koolhydraten,vet,vezels,ingredienten,bereidingstijd_min,bereidingsmethode,bereiding
Avondeten,Spaghetti Bolognese,650.0,35.0,75.0,22.0,8.0,"75g spaghetti, 150g rundergehakt, 200g tomatensaus, 50g ui, 50g wortel",30.0,Kookpan,1. Kook de spaghetti. 2. Bak gehakt rul. 3. Voeg groenten en saus toe. 4. Laat 15 min sudderen. 5. Meng met pasta.,
Avondeten,Kip Teriyaki met Rijst,540.0,42.0,68.0,12.0,4.0,"150g kipfilet, 70g rijst, 150g roerbakgroente, 30ml teriyakisaus",25.0,Koekenpan,1. Kook rijst. 2. Bak kip gaar. 3. Voeg groenten toe. 4. Roer saus erdoor. 5. Serveer met rijst.,
Avondeten,Zalm met Broccoli en Aardappelen,600.0,38.0,45.0,28.0,7.0,"150g zalm, 200g aardappelen, 200g broccoli",30.0,Oven,1. Verwarm oven op 200C. 2. Bak zalm 15 min. 3. Kook aardappelen. 4. Stoom broccoli. 5. Serveer samen.,
Avondeten,Vegetarische Chili Sin Carne,520.0,22.0,70.0,18.0,14.0,"200g kidneybonen, 150g tomatenblokjes, 100g paprika, 50g ui, 70g rijst",35.0,Kookpan,1. Fruit ui. 2. Voeg paprika toe. 3. Voeg bonen en tomaat toe. 4. Laat 20 min sudderen. 5. Serveer met rijst.,
Avondeten,Wraps met Kip en Groente,560.0,36.0,55.0,20.0,6.0,"2 wraps, 150g kip, 100g paprika, 50g mais, 30g yoghurt",20.0,Koekenpan,1. Bak kip. 2. Voeg groente toe. 3. Verwarm wraps. 4. Vul en rol op.,
Avondeten,Bami Goreng,630.0,28.0,85.0,18.0,5.0,"100g mie, 150g kip, 150g roerbakgroente, 20ml sojasaus",25.0,Wok,1. Kook mie. 2. Bak kip. 3. Voeg groente toe. 4. Meng mie en saus erdoor.,
Avondeten,Nasi met Ei en Kip,610.0,35.0,80.0,17.0,4.0,"75g rijst, 150g kip, 1 ei, 150g groente",25.0,Wok,1. Kook rijst. 2. Bak kip. 3. Voeg groente toe. 4. Roer ei erdoor.,
Avondeten,Lasagne Bolognese,720.0,40.0,65.0,30.0,6.0,"3 lasagnebladen, 150g gehakt, 200g tomatensaus, 40g kaas",45.0,Oven,1. Bak gehakt. 2. Bouw lagen op. 3. Bestrooi met kaas. 4. Bak 30 min.,
Avondeten,Couscous met Gegrilde Groenten,500.0,18.0,75.0,14.0,9.0,"75g couscous, 200g groente, 30g feta",20.0,Pan/Oven,1. Bereid couscous. 2. Grill groenten. 3. Meng met feta.,
Avondeten,Shoarma met Pitabrood,700.0,38.0,60.0,32.0,5.0,"150g shoarma, 2 pitabroodjes, 100g sla, 40g knoflooksaus",20.0,Koekenpan,1. Bak shoarma. 2. Verwarm pita. 3. Vul met sla en saus.,
Avondeten,Aardappelpuree met Worst en Sperziebonen,680.0,32.0,55.0,35.0,7.0,"200g aardappelen, 1 rookworst, 200g sperziebonen",30.0,Kookpan,1. Kook aardappelen. 2. Maak puree. 3. Kook bonen. 4. Verwarm worst.,
Avondeten,Thaise Groene Curry,590.0,34.0,50.0,28.0,6.0,"150g kip, 200ml kokosmelk, 150g groente, 70g rijst",30.0,Wok,1. Kook rijst. 2. Bak kip. 3. Voeg curry en kokosmelk toe. 4. Laat sudderen.,
Avondeten,Pasta Pesto met Kip,640.0,38.0,70.0,22.0,5.0,"75g pasta, 150g kip, 40g pesto, 50g tomaat",20.0,Kookpan,1. Kook pasta. 2. Bak kip. 3. Meng pesto en tomaat erdoor.,
Avondeten,Hamburger met Zoete Aardappel Friet,750.0,45.0,65.0,38.0,8.0,"1 burger, 1 broodje, 250g zoete aardappel",30.0,Oven,1. Bak friet 25 min. 2. Bak burger. 3. Serveer op broodje.,
Avondeten,Pokebowl Zalm,620.0,36.0,70.0,20.0,6.0,"75g rijst, 150g zalm, 100g komkommer, 50g avocado",20.0,Kom,1. Kook rijst. 2. Snijd zalm. 3. Bouw bowl op.,
Avondeten,Ratatouille met Kip,540.0,35.0,30.0,28.0,9.0,"150g kip, 250g groente, 100g tomaat",30.0,Stoofpan,1. Bak kip. 2. Voeg groente toe. 3. Laat 20 min stoven.,
Avondeten,Macaroni met Ham en Kaas,670.0,32.0,85.0,22.0,4.0,"75g macaroni, 100g ham, 40g kaas, 150g saus",25.0,Kookpan,1. Kook pasta. 2. Voeg ham en saus toe. 3. Bestrooi met kaas.,
Avondeten,Vissticks met Spinazie en Aardappelen,600.0,28.0,70.0,22.0,6.0,"3 vissticks, 200g aardappelen, 200g spinazie",25.0,Oven/Kookpan,1. Bak vissticks. 2. Kook aardappelen. 3. Roerbak spinazie.,
Avondeten,Gnocchi met Tomatensaus,580.0,18.0,85.0,16.0,7.0,"250g gnocchi, 200g tomatensaus, 30g parmezaan",20.0,Kookpan,1. Kook gnocchi. 2. Verwarm saus. 3. Meng en bestrooi.,
Avondeten,Burrito met Rundergehakt,690.0,40.0,75.0,25.0,8.0,"1 wrap, 150g gehakt, 100g bonen, 50g mais",25.0,Koekenpan,1. Bak gehakt. 2. Voeg bonen toe. 3. Vul wrap en rol op.,
Avondeten,Kip Schnitzel met Aardappelsalade,720.0,42.0,60.0,36.0,6.0,"1 schnitzel, 250g aardappelsalade",20.0,Koekenpan,1. Bak schnitzel. 2. Serveer met salade.,
Avondeten,Risotto met Champignons,560.0,20.0,75.0,18.0,5.0,"75g risottorijst, 150g champignons, 30g parmezaan",35.0,Kookpan,1. Fruit champignons. 2. Voeg rijst toe. 3. Voeg bouillon geleidelijk toe.,
Avondeten,Tortellini met Spinazie,630.0,25.0,80.0,20.0,6.0,"250g tortellini, 150g spinazie, 100ml room",20.0,Kookpan,1. Kook tortellini. 2. Verwarm spinazie en room. 3. Meng samen.,
Avondeten,Kipsaté met Pindasaus,650.0,45.0,45.0,30.0,4.0,"150g kip, 30g pindasaus, 70g rijst",25.0,Grillpan,1. Grill kip. 2. Kook rijst. 3. Serveer met saus.,
Avondeten,Stamppot Boerenkool,700.0,30.0,60.0,38.0,10.0,"200g aardappelen, 200g boerenkool, 1 rookworst",30.0,Kookpan,1. Kook aardappelen en boerenkool. 2. Stamp. 3. Serveer met worst.,
Avondeten,Pasta Carbonara,720.0,30.0,80.0,30.0,3.0,"75g pasta, 100g spek, 1 ei, 30g kaas",20.0,Kookpan,1. Kook pasta. 2. Bak spek. 3. Meng ei en kaas erdoor.,
Avondeten,Zalm Teriyaki met Noedels,610.0,38.0,70.0,18.0,5.0,"150g zalm, 100g noedels, 150g groente",25.0,Wok,1. Kook noedels. 2. Bak zalm. 3. Voeg groente en saus toe.,
Avondeten,Groentelasagne,550.0,22.0,65.0,20.0,9.0,"3 lasagnebladen, 250g groente, 200g saus, 40g kaas",40.0,Oven,1. Bouw lagen. 2. Bestrooi met kaas. 3. Bak 30 min.,
Avondeten,Kipburger met Salade,580.0,42.0,35.0,28.0,6.0,"1 kipburger, 1 broodje, 150g salade",20.0,Grillpan,1. Grill burger. 2. Serveer op broodje met salade.,
Avondeten,Quinoa Salade met Feta,520.0,18.0,60.0,22.0,8.0,"75g quinoa, 150g groente, 40g feta",20.0,Kookpan,1. Kook quinoa. 2. Meng met groente en feta.,
Avondeten,Pannenkoeken met Spek,680.0,25.0,75.0,30.0,2.0,"100g mix, 200ml melk, 1 ei, 100g spek",20.0,Koekenpan,1. Maak beslag. 2. Bak spek. 3. Bak pannenkoeken.,
Avondeten,Kip Alfredo Pasta,730.0,45.0,80.0,28.0,4.0,"75g pasta, 150g kip, 100ml roomsaus",25.0,Kookpan,1. Kook pasta. 2. Bak kip. 3. Voeg saus toe.,
Avondeten,Rijst met Garnalen,590.0,35.0,75.0,14.0,4.0,"75g rijst, 150g garnalen, 150g groente",20.0,Wok,1. Kook rijst. 2. Bak garnalen. 3. Voeg groente toe.,
Avondeten,Vegetarische Burger met Friet,710.0,28.0,85.0,30.0,7.0,"1 vegaburger, 1 broodje, 200g friet",25.0,Oven,1. Bak friet. 2. Bak burger. 3. Serveer samen.,
Avondeten,Kip Tandoori met Rijst,600.0,40.0,70.0,15.0,5.0,"150g kip, 70g rijst, 100g yoghurt",30.0,Oven,1. Marineer kip. 2. Bak 20 min. 3. Kook rijst.,
Avondeten,Pasta Arrabiata,560.0,18.0,85.0,14.0,6.0,"75g pasta, 200g tomatensaus, chili",20.0,Kookpan,1. Kook pasta. 2. Verwarm saus. 3. Meng samen.,
Avondeten,Gehaktballen met Jus en Aardappelen,750.0,42.0,55.0,40.0,5.0,"2 gehaktballen, 200g aardappelen, jus",30.0,Koekenpan,1. Bak ballen. 2. Kook aardappelen. 3. Serveer met jus.,
Avondeten,Noedelsoep met Kip,520.0,35.0,60.0,12.0,4.0,"100g noedels, 150g kip, 500ml bouillon",25.0,Kookpan,1. Kook bouillon. 2. Voeg kip toe. 3. Voeg noedels toe.,
Avondeten,Zalm Pasta met Spinazie,640.0,38.0,70.0,22.0,6.0,"75g pasta, 150g zalm, 150g spinazie",25.0,Kookpan,1. Kook pasta. 2. Bak zalm. 3. Voeg spinazie toe.,
Avondeten,Taco’s met Kip,650.0,40.0,70.0,24.0,7.0,"2 taco shells, 150g kip, 100g sla, salsa",20.0,Koekenpan,1. Bak kip. 2. Vul taco’s.,
Avondeten,Curry Linzen met Rijst,540.0,22.0,80.0,14.0,12.0,"150g linzen, 200g tomaat, 70g rijst",30.0,Kookpan,1. Kook rijst. 2. Laat linzen sudderen met tomaat.,
Avondeten,Kipfilet met Couscous,560.0,45.0,55.0,14.0,6.0,"150g kip, 75g couscous, 150g groente",25.0,Grillpan,1. Grill kip. 2. Bereid couscous. 3. Voeg groente toe.,
Avondeten,Pizza Margherita,800.0,30.0,90.0,32.0,4.0,"1 pizzabodem, 150g tomatensaus, 100g mozzarella",20.0,Oven,1. Beleg pizza. 2. Bak 15 min op 220C.,
Avondeten,Geroerbakte Tofu met Rijst,520.0,25.0,65.0,18.0,8.0,"150g tofu, 75g rijst, 150g groente",25.0,Wok,1. Kook rijst. 2. Bak tofu. 3. Voeg groente toe.,
Avondeten,Kip Caesar Salade,550.0,40.0,25.0,32.0,5.0,"150g kip, 100g sla, 30g croutons, dressing",20.0,Koekenpan,1. Bak kip. 2. Meng met sla en dressing.,
Avondeten,Broccoli Ovenschotel met Gehakt,680.0,38.0,40.0,42.0,7.0,"200g broccoli, 150g gehakt, 40g kaas",35.0,Oven,1. Bak gehakt. 2. Meng met broccoli. 3. Bestrooi met kaas en bak.,
Avondeten,Rijstschotel met Groente en Ei,560.0,22.0,75.0,18.0,6.0,"75g rijst, 1 ei, 200g groente",20.0,Wok,1. Kook rijst. 2. Roerbak groente. 3. Voeg ei toe.,
Avondeten,Kip Gyros met Tzatziki,650.0,45.0,55.0,28.0,5.0,"150g kipgyros, 1 pita, 50g tzatziki",20.0,Koekenpan,1. Bak kip. 2. Vul pita met tzatziki.,
Avondeten,Pasta met Tonijn,600.0,35.0,75.0,18.0,5.0,"75g pasta, 1 blik tonijn, 150g tomatensaus",20.0,Kookpan,1. Kook pasta. 2. Voeg tonijn en saus toe.,
Avondeten,Vegetarische Couscous Bowl,510.0,20.0,70.0,16.0,9.0,"75g couscous, 200g groente, 30g hummus",20.0,Kom,1. Bereid couscous. 2. Voeg groente toe. 3. Top met hummus.,
Ontbijt,Griekse Yoghurt met Granola,400.0,25.0,45.0,12.0,5.0,"250g Griekse yoghurt, 40g granola, 50g blauwe bessen",5.0,Kom,1. Schep yoghurt in kom. 2. Voeg granola toe. 3. Garneer met blauwe bessen.,
Ontbijt,Volkoren Boterham met Avocado en Ei,380.0,16.0,35.0,20.0,7.0,"2 volkoren boterhammen, 1 ei, 1/2 avocado",10.0,Koekenpan,1. Kook of bak ei. 2. Prak avocado. 3. Beleg brood met avocado en ei.,
Ontbijt,Milkshake Aardbei Banaan,350.0,20.0,55.0,6.0,4.0,"250ml halfvolle melk, 1 banaan, 100g aardbeien, 30g eiwitpoeder",5.0,Blender,1. Doe alle ingrediënten in blender. 2. Mix tot glad.,
Ontbijt,Havermout met Appel en Kaneel,420.0,15.0,65.0,12.0,9.0,"60g havermout, 250ml melk, 1 appel, kaneel",10.0,Kookpan,1. Kook havermout. 2. Snijd appel. 3. Voeg appel en kaneel toe.,
Ontbijt,Omelet met Groenten,300.0,22.0,8.0,20.0,3.0,"3 eieren, 100g spinazie, 50g paprika",10.0,Koekenpan,1. Klop eieren. 2. Bak groenten. 3. Voeg ei toe en bak gaar.,
Ontbijt,Skyr met Noten en Honing,390.0,30.0,40.0,10.0,4.0,"250g skyr, 20g noten, 10g honing",5.0,Kom,1. Schep skyr in kom. 2. Voeg noten en honing toe.,
Ontbijt,Pannenkoeken met Blauwe Bessen,520.0,18.0,70.0,18.0,5.0,"100g volkorenmeel, 1 ei, 200ml melk, 50g blauwe bessen",15.0,Koekenpan,1. Maak beslag. 2. Voeg bessen toe. 3. Bak pannenkoeken.,
Ontbijt,Volkoren Toast met Pindakaas,370.0,14.0,40.0,18.0,6.0,"2 volkoren boterhammen, 20g pindakaas",5.0,Rooster,1. Rooster brood. 2. Besmeer met pindakaas.,
Ontbijt,Kwark met Aardbeien,320.0,28.0,30.0,6.0,3.0,"250g magere kwark, 100g aardbeien",5.0,Kom,1. Schep kwark in kom. 2. Voeg aardbeien toe.,
Ontbijt,Roerei met Zalm,410.0,28.0,4.0,32.0,1.0,"3 eieren, 50g gerookte zalm",10.0,Koekenpan,1. Klop eieren. 2. Bak zacht roerei. 3. Voeg zalm toe.,
Ontbijt,Muesli met Yoghurt,390.0,20.0,55.0,10.0,6.0,"50g muesli, 200g yoghurt",5.0,Kom,1. Doe yoghurt in kom. 2. Voeg muesli toe.,
Ontbijt,Banaan Havermout Smoothie,420.0,22.0,65.0,8.0,7.0,"60g havermout, 1 banaan, 250ml melk",5.0,Blender,1. Blend alle ingrediënten tot glad.,
Ontbijt,Eiwitrijke Ontbijtbowl,450.0,35.0,45.0,12.0,5.0,"250g kwark, 30g eiwitpoeder, 40g granola",5.0,Kom,1. Meng kwark met eiwitpoeder. 2. Voeg granola toe.,
Ontbijt,Volkoren Croissant met Ham en Kaas,480.0,20.0,40.0,28.0,2.0,"1 volkoren croissant, 30g ham, 30g kaas",5.0,Oven,1. Verwarm croissant. 2. Beleg met ham en kaas.,
Ontbijt,Overnight Oats met Frambozen,410.0,18.0,60.0,12.0,9.0,"60g havermout, 200ml melk, 50g frambozen",5.0,Koelkast,1. Meng ingrediënten. 2. Laat nacht in koelkast staan.,
Ontbijt,Omelet met Champignons,320.0,24.0,6.0,22.0,2.0,"3 eieren, 100g champignons",10.0,Koekenpan,1. Bak champignons. 2. Voeg ei toe en bak gaar.,
Ontbijt,Yoghurt met Banaan en Noten,430.0,22.0,50.0,16.0,5.0,"250g yoghurt, 1 banaan, 20g noten",5.0,Kom,1. Meng yoghurt en banaan. 2. Voeg noten toe.,
Ontbijt,Proteïne Pannenkoeken,500.0,35.0,55.0,14.0,4.0,"100g eiwitmix, 1 ei, 200ml melk",15.0,Koekenpan,1. Maak beslag. 2. Bak pannenkoeken.,
Ontbijt,Havermout met Rozijnen,400.0,14.0,70.0,8.0,8.0,"60g havermout, 250ml melk, 20g rozijnen",10.0,Kookpan,1. Kook havermout. 2. Voeg rozijnen toe.,
Ontbijt,Avocado Toast met Tomaat,350.0,10.0,35.0,18.0,8.0,"2 volkoren boterhammen, 1/2 avocado, 1 tomaat",5.0,Rooster,1. Rooster brood. 2. Beleg met avocado en tomaat.,
Ontbijt,Kwark met Granola en Honing,420.0,30.0,45.0,12.0,4.0,"250g kwark, 40g granola, 10g honing",5.0,Kom,1. Meng alles in een kom.,
Ontbijt,Scrambled Eggs met Spinazie,330.0,25.0,5.0,23.0,2.0,"3 eieren, 100g spinazie",10.0,Koekenpan,1. Bak spinazie. 2. Voeg ei toe en roer.,
Ontbijt,Smoothie Bowl met Aardbei,380.0,20.0,55.0,10.0,6.0,"250g yoghurt, 100g aardbeien, 30g granola",5.0,Blender,1. Blend yoghurt en aardbei. 2. Top met granola.,
Ontbijt,Volkoren Bagel met Roomkaas,450.0,15.0,60.0,16.0,4.0,"1 volkoren bagel, 30g roomkaas",5.0,Rooster,1. Snijd en rooster bagel. 2. Besmeer met roomkaas.,
Ontbijt,Havermout met Peer,410.0,16.0,65.0,10.0,9.0,"60g havermout, 250ml melk, 1 peer",10.0,Kookpan,1. Kook havermout. 2. Voeg peer toe.,
Ontbijt,Yoghurt met Kiwi en Chia,360.0,22.0,40.0,10.0,7.0,"250g yoghurt, 1 kiwi, 10g chiazaad",5.0,Kom,1. Meng yoghurt met kiwi en chia.,
Ontbijt,Eiwit Omelet met Kipfilet,390.0,40.0,4.0,24.0,1.0,"3 eiwitten, 1 ei, 50g kipfilet",10.0,Koekenpan,1. Klop eieren. 2. Voeg kip toe. 3. Bak gaar.,
Ontbijt,Ontbijt Burrito,520.0,28.0,55.0,20.0,6.0,"1 volkoren wrap, 2 eieren, 50g bonen, 30g kaas",15.0,Koekenpan,1. Bak ei. 2. Vul wrap met ingrediënten. 3. Rol op.,
Ontbijt,Muesli met Notenmelk,370.0,14.0,55.0,12.0,6.0,"50g muesli, 250ml amandelmelk",5.0,Kom,1. Meng muesli met melk.,
Ontbijt,Havermout met Chocolade en Banaan,480.0,18.0,70.0,16.0,8.0,"60g havermout, 250ml melk, 1 banaan, 10g pure chocolade",10.0,Kookpan,1. Kook havermout. 2. Voeg banaan en chocolade toe.,
Ontbijt,Skyr met Appel en Kaneel,340.0,30.0,35.0,4.0,5.0,"250g skyr, 1 appel, kaneel",5.0,Kom,1. Meng skyr met appel en kaneel.,
Ontbijt,Volkoren Toast met Hüttenkäse,360.0,20.0,35.0,12.0,5.0,"2 volkoren boterhammen, 100g hüttenkäse",5.0,Rooster,1. Rooster brood. 2. Beleg met hüttenkäse.,
Ontbijt,Chocolade Proteïne Shake,390.0,35.0,30.0,10.0,3.0,"30g eiwitpoeder, 250ml melk, 1 banaan",5.0,Blender,1. Blend alle ingrediënten.,
Ontbijt,Havermout met Notenmix,450.0,17.0,55.0,20.0,7.0,"60g havermout, 250ml melk, 20g notenmix",10.0,Kookpan,1. Kook havermout. 2. Voeg noten toe.,
Ontbijt,Yoghurt met Granola en Mango,430.0,22.0,55.0,12.0,5.0,"250g yoghurt, 40g granola, 100g mango",5.0,Kom,1. Meng alles in een kom.,
Ontbijt,Roerei met Bacon,500.0,30.0,2.0,40.0,0.0,"3 eieren, 2 plakjes bacon",10.0,Koekenpan,1. Bak bacon. 2. Voeg ei toe en roer.,
Ontbijt,Havermout met Blauwe Bessen,410.0,16.0,65.0,10.0,8.0,"60g havermout, 250ml melk, 50g blauwe bessen",10.0,Kookpan,1. Kook havermout. 2. Voeg bessen toe.,
Ontbijt,Ontbijt Wrap met Zalm,480.0,30.0,45.0,18.0,5.0,"1 volkoren wrap, 50g zalm, 1 ei, 30g roomkaas",10.0,Koekenpan,1. Bak ei. 2. Vul wrap met zalm en roomkaas.,
Ontbijt,Kwark met Ananas,300.0,28.0,30.0,2.0,2.0,"250g magere kwark, 100g ananas",5.0,Kom,1. Meng kwark met ananas.,
Ontbijt,Volkoren Crackers met Kaas,350.0,15.0,30.0,18.0,4.0,"3 volkoren crackers, 40g kaas",5.0,Geen,1. Beleg crackers met kaas.,
Ontbijt,Havermout met Pindakaas en Appel,470.0,20.0,65.0,18.0,9.0,"60g havermout, 250ml melk, 1 appel, 15g pindakaas",10.0,Kookpan,1. Kook havermout. 2. Voeg appel en pindakaas toe.,
Ontbijt,Smoothie met Spinazie en Banaan,340.0,18.0,50.0,6.0,5.0,"250ml melk, 1 banaan, 50g spinazie, 30g eiwitpoeder",5.0,Blender,1. Blend alle ingrediënten.,
Ontbijt,Yoghurt met Muesli en Frambozen,390.0,20.0,55.0,10.0,6.0,"250g yoghurt, 50g muesli, 50g frambozen",5.0,Kom,1. Meng alles in een kom.,
